Lil' B's dad,Arodo,Dawn of crytpo,JN,Zaclele,Numanuma,DollarBillClinton,Mati Roy,SquatBandit,Big Swinging Donkey,CryptoElite,Kryptonite,🔝 🎩 🤠,Shopolopoulopoulos,HotBatTakesTheCake,stooart,LONG ETH,Jho,Choukilele,mc_scrad,LONG BTC,Felicia Bootylicious
5.585072194,6.106451555,4.833347842,3.591646047,-0.375047641,15.08431154,11.89631131,6.670933464,9.147819461,10.54264066,5.121969947,24.29745363,7.906117666,7.906117666,23.66327981,14.17792034,14.16439529,10.57705532,7.661536308,12.23595063,2.914426161,2.914426161
5.701734986,6.247298275,4.931924921,3.665819267,-0.401542273,15.4375174,12.17808858,6.823529449,9.352205664,10.78337941,5.244068376,24.88539703,8.086100009,8.086100009,24.23800215,14.52022673,14.50809349,10.82697516,7.839989676,12.52455852,2.975944787,2.975944787
5.815124124,6.385305917,5.027552635,3.737844415,-0.428859645,15.78401495,12.45475242,6.972961856,9.551999095,11.01907949,5.364043828,25.46367669,8.262290875,8.262290875,24.80338613,14.85683418,14.8461637,11.0723228,8.01498247,12.80784877,3.035792134,3.035792134
5.925260226,6.520491245,5.120251305,3.807735514,-0.456993344,16.12384426,12.72633283,7.119250318,9.74723025,11.24977075,5.481911993,26.03235625,8.434714459,8.434714459,25.35948881,15.18777863,15.17863841,11.31312588,8.186535387,13.08585359,3.093978796,3.093978796
6.032163909,6.652871026,5.210041256,3.87550659,-0.485936956,16.4570454,12.99285981,7.262414469,9.937929622,11.47548302,5.597688561,26.59149934,8.603394955,8.603394955,25.90636725,15.51309603,15.50555013,11.54941207,8.354669123,13.35860518,3.150515367,3.150515367
6.135855791,6.782462023,5.296942811,3.941171666,-0.515684068,16.78365842,13.25436337,7.402473944,10.1241277,11.69624615,5.711389222,27.14116962,8.76835656,8.76835656,26.44407853,15.83282232,15.82693136,11.78120903,8.519404375,13.62613578,3.205412442,3.205412442
6.236356488,6.909281003,5.380976295,4.004744767,-0.546228269,17.10372339,13.51087351,7.539448377,10.30585499,11.91208999,5.823029666,27.6814307,8.929623466,8.929623466,26.97267973,16.14699344,16.14281459,12.0085444,8.680761838,13.88847759,3.258680613,3.258680613
6.333686617,7.033344731,5.462162029,4.066239917,-0.577563145,17.41728037,13.76242023,7.673357403,10.48314198,12.12304437,5.932625583,28.21234625,9.087219871,9.087219871,27.4922279,16.45564533,16.45323232,12.23144585,8.838762208,14.14566282,3.310330476,3.310330476
6.427866797,7.154669972,5.540520339,4.125671139,-0.609682283,17.72436943,14.00903355,7.804220656,10.65601917,12.32913913,6.040192663,28.73397988,9.241169968,9.241169968,28.00278011,16.75881394,16.75821706,12.44994103,8.993426183,14.3977237,3.360372625,3.360372625
6.518917644,7.27327349,5.616071547,4.183052459,-0.642579271,18.02503063,14.25074346,7.932057771,10.82451704,12.53040413,6.145746596,29.24639524,9.391497953,9.391497953,28.50439345,17.0565352,17.05780129,12.66405761,9.144774458,14.64469245,3.408817653,3.408817653
